2025-09-08 01:03:44,201 - INFO - Starting Casino Bot Service...
2025-09-08 01:03:44,201 - INFO - Script directory: C:\Users\velib\OneDrive\Desktop\sff
2025-09-08 01:03:44,201 - INFO - Main script: C:\Users\velib\OneDrive\Desktop\sff\main.py
2025-09-08 01:03:44,201 - INFO - Log file: C:\Users\velib\OneDrive\Desktop\sff\bot_service.log
2025-09-08 01:03:44,201 - INFO - Starting Casino Bot...
2025-09-08 01:03:46,516 - INFO - Bot: 2025-09-08 01:03:46,516 - __main__ - ERROR - Another bot instance is already running with PID 5864
2025-09-08 01:03:46,516 - INFO - Bot: 2025-09-08 01:03:46,516 - __main__ - ERROR - Please stop the other instance before starting a new one
2025-09-08 01:03:47,211 - WARNING - Bot process ended with code 1
2025-09-08 01:03:47,211 - INFO - Restarting bot in 10 seconds...
2025-09-08 01:03:57,212 - INFO - Starting Casino Bot...
2025-09-08 01:03:59,428 - INFO - Bot: 2025-09-08 01:03:59,427 - __main__ - ERROR - Another bot instance is already running with PID 5864
2025-09-08 01:03:59,428 - INFO - Bot: 2025-09-08 01:03:59,428 - __main__ - ERROR - Please stop the other instance before starting a new one
2025-09-08 01:04:00,215 - WARNING - Bot process ended with code 1
2025-09-08 01:04:00,215 - INFO - Restarting bot in 10 seconds...
2025-09-08 01:05:37,177 - INFO - Starting Casino Bot Service...
2025-09-08 01:05:37,177 - INFO - Script directory: C:\Users\velib\OneDrive\Desktop\sff
2025-09-08 01:05:37,177 - INFO - Main script: C:\Users\velib\OneDrive\Desktop\sff\main.py
2025-09-08 01:05:37,177 - INFO - Log file: C:\Users\velib\OneDrive\Desktop\sff\bot_service.log
2025-09-08 01:05:37,177 - INFO - Starting Casino Bot...
2025-09-08 01:05:39,319 - INFO - Bot: SUCCESS: Casino database initialized!
2025-09-08 01:05:39,319 - INFO - Bot: 2025-09-08 01:05:39,319 - casino_bot - INFO - Solo game engine initialized successfully
2025-09-08 01:05:39,319 - INFO - Bot: 2025-09-08 01:05:39,319 - __main__ - INFO - SUCCESS: Casino system initialized
2025-09-08 01:05:39,319 - INFO - Bot: 2025-09-08 01:05:39,319 - __main__ - INFO - SUCCESS: CryptoBot integration initialized
2025-09-08 01:05:39,319 - INFO - Bot: 2025-09-08 01:05:39,319 - __main__ - INFO - Enhanced Casino Bot initialized successfully
2025-09-08 01:05:39,335 - INFO - Bot: 2025-09-08 01:05:39,335 - __main__ - INFO - CryptoBot payment tables initialized successfully
2025-09-08 01:05:39,335 - INFO - Bot: 2025-09-08 01:05:39,335 - advanced_features - INFO - Advanced features initialized successfully
2025-09-08 01:05:39,335 - INFO - Bot: 2025-09-08 01:05:39,335 - __main__ - INFO - Advanced features initialized successfully
2025-09-08 01:05:39,351 - INFO - Bot: 2025-09-08 01:05:39,351 - __main__ - INFO - Casino Bot is starting...
2025-09-08 01:05:39,351 - INFO - Bot: 2025-09-08 01:05:39,351 - __main__ - INFO - Payment system: Enabled
2025-09-08 01:05:39,351 - INFO - Bot: 2025-09-08 01:05:39,351 - __main__ - INFO - Bot is ready to receive messages!
2025-09-08 01:05:39,880 - INFO - Bot: 2025-09-08 01:05:39,880 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/getMe "HTTP/1.1 200 OK"
2025-09-08 01:05:40,074 - INFO - Bot: 2025-09-08 01:05:40,074 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/deleteWebhook "HTTP/1.1 200 OK"
2025-09-08 01:05:40,077 - INFO - Bot: 2025-09-08 01:05:40,076 - apscheduler.scheduler - INFO - Scheduler started
2025-09-08 01:05:40,077 - INFO - Bot: 2025-09-08 01:05:40,077 - telegram.ext.Application - INFO - Application started
2025-09-08 01:05:45,584 - INFO - Bot: 2025-09-08 01:05:45,584 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/getUpdates "HTTP/1.1 200 OK"
2025-09-08 01:05:45,854 - INFO - Bot: 2025-09-08 01:05:45,852 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/answerCallbackQuery "HTTP/1.1 200 OK"
2025-09-08 01:05:45,992 - INFO - Bot: 2025-09-08 01:05:45,992 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/editMessageText "HTTP/1.1 200 OK"
2025-09-08 01:05:47,100 - INFO - Bot: 2025-09-08 01:05:47,100 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/getUpdates "HTTP/1.1 200 OK"
2025-09-08 01:05:47,256 - INFO - Bot: 2025-09-08 01:05:47,256 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/answerCallbackQuery "HTTP/1.1 200 OK"
2025-09-08 01:05:47,413 - INFO - Bot: 2025-09-08 01:05:47,413 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/editMessageText "HTTP/1.1 200 OK"
2025-09-08 01:05:57,177 - INFO - Bot: 2025-09-08 01:05:57,177 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/getUpdates "HTTP/1.1 200 OK"
2025-09-08 01:06:07,240 - INFO - Bot: 2025-09-08 01:06:07,240 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/getUpdates "HTTP/1.1 200 OK"
2025-09-08 01:06:17,317 - INFO - Bot: 2025-09-08 01:06:17,317 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/getUpdates "HTTP/1.1 200 OK"
2025-09-08 01:06:27,382 - INFO - Bot: 2025-09-08 01:06:27,382 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/getUpdates "HTTP/1.1 200 OK"
2025-09-08 01:06:37,453 - INFO - Bot: 2025-09-08 01:06:37,453 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/getUpdates "HTTP/1.1 200 OK"
2025-09-08 01:06:47,520 - INFO - Bot: 2025-09-08 01:06:47,520 - httpx - INFO - HTTP Request: POST https://api.telegram.org/bot8275019346:AAGPXX3fjw3g7Kg-ltTHsCNCa7FaUdaRCzM/getUpdates "HTTP/1.1 200 OK"
